  Generating ../brightmaps.pk3
  Adding brightmaps/doom/BON2B0.png                5.1% [    94/    99] Deflate
  Adding brightmaps/hexen/MAGEF7.png               0.0% [   183/   183] Stored
  Adding brightmaps/hexen/MAGEF8.png               0.0% [   196/   196] Stored
  Adding brightmaps/hexen/WRTHE1.png               0.0% [   419/   419] Stored
  Adding brightmaps/hexen/WRTHE2E8.png             0.0% [   347/   347] Stored
  Adding brightmaps/hexen/WRTHE3E7.png             0.0% [   246/   246] Stored
  Adding brightmaps/hexen/WRTHE4E6.png             0.0% [   267/   267] Stored
  Adding brightmaps/hexen/WRTHE5.png               0.0% [   281/   281] Stored
  Adding brightmaps/hexen/WRTHF1.png               0.0% [   637/   637] Stored
  Adding brightmaps/hexen/WRTHF2F8.png             0.0% [   424/   424] Stored
  Adding brightmaps/hexen/WRTHF3F7.png             0.0% [   395/   395] Stored
  Adding brightmaps/hexen/WRTHF4F6.png             0.0% [   421/   421] Stored
  Adding brightmaps/hexen/WRTHF5.png               0.0% [   455/   455] Stored
  Adding brightmaps/hexen/WRTHG1.png               0.0% [   385/   385] Stored
  Adding brightmaps/hexen/WRTHG2G8.png             0.0% [   321/   321] Stored
  Adding brightmaps/hexen/WRTHG3G7.png             0.0% [   343/   343] Stored
  Adding brightmaps/hexen/WRTHG4G6.png             0.0% [   322/   322] Stored
  Adding brightmaps/hexen/WRTHG5.png               0.0% [   316/   316] Stored
  Adding brightmaps/strife/MLDRE1.png              0.0% [   218/   218] Stored
  Adding brightmaps/strife/MLDRE2.png              0.0% [   189/   189] Stored
  Adding brightmaps/strife/MLDRE3.png              0.0% [   196/   196] Stored
  Adding brightmaps/strife/MLDRE4.png              0.0% [   201/   201] Stored
  Adding brightmaps/strife/MLDRE5.png              1.1% [   187/   189] Deflate
  Adding brightmaps/strife/MLDRE6.png              0.0% [   194/   194] Stored
  Adding brightmaps/strife/MLDRE7.png              1.4% [   208/   211] Deflate
  Adding brightmaps/strife/MLDRE8.png              0.0% [   227/   227] Stored
  Adding brightmaps/strife/PGRDG1.png              3.3% [   119/   123] Deflate
  Adding brightmaps/strife/PGRDG2.png              3.0% [   130/   134] Deflate
  Adding brightmaps/strife/PGRDG3.png              2.2% [   135/   138] Deflate
  Adding brightmaps/strife/PGRDG4.png              2.7% [   144/   148] Deflate
  Adding brightmaps/strife/PGRDG5.png              4.0% [   121/   126] Deflate
  Adding brightmaps/strife/PGRDG6.png              3.3% [   145/   150] Deflate
  Adding brightmaps/strife/PGRDG7.png              3.1% [   125/   129] Deflate
  Adding brightmaps/strife/PGRDG8.png              3.0% [   128/   132] Deflate
  Adding brightmaps/strife/PGRDI0.png              4.6% [   103/   108] Deflate
  Adding brightmaps/strife/PGRDJ0.png              1.1% [   178/   180] Deflate
  Adding brightmaps/strife/PGRDK0.png              1.1% [   173/   175] Deflate
  Adding brightmaps/strife/PGRDL0.png              0.0% [   169/   169] Stored
  Adding brightmaps/strife/PGRDM0.png              1.3% [   155/   157] Deflate
  Adding brightmaps/strife/PGRDN0.png              4.5% [   107/   112] Deflate
  Adding brightmaps/strife/PRGRO0.png              0.0% [   368/   368] Stored
  Adding brightmaps/strife/RBB3A0.png              0.0% [   343/   343] Stored
  Adding brightmaps/strife/RBB3B0.png              0.0% [   336/   336] Stored
  Adding brightmaps/strife/ROB1J0.png              2.2% [   132/   135] Deflate
  Adding brightmaps/strife/ROB1K0.png              1.1% [   182/   184] Deflate
  Adding brightmaps/strife/ROB1L0.png              0.0% [   252/   252] Stored
  Adding brightmaps/strife/ROB1M0.png              0.9% [   209/   211] Deflate
  Adding brightmaps/strife/ROB1N0.png              0.0% [   183/   183] Stored
  Adding brightmaps/strife/ROB1O0.png              2.0% [   149/   152] Deflate
  Adding brightmaps/strife/ROB1P0.png              0.0% [   340/   340] Stored
  Adding brightmaps/strife/ROB2F1.png              1.1% [   179/   181] Deflate
  Adding brightmaps/strife/ROB2F2.png              1.1% [   187/   189] Deflate
  Adding brightmaps/strife/ROB2F3.png              2.5% [   156/   160] Deflate
  Adding brightmaps/strife/ROB2F4.png              0.0% [   164/   164] Stored
  Adding brightmaps/strife/ROB2F5.png              1.8% [   160/   163] Deflate
  Adding brightmaps/strife/ROB2F6.png              4.7% [   102/   107] Deflate
  Adding brightmaps/strife/ROB2F7.png              5.1% [   130/   137] Deflate
  Adding brightmaps/strife/ROB2F8.png              1.1% [   172/   174] Deflate
  Adding brightmaps/strife/ROB2G0.png              0.0% [   187/   187] Stored
  Adding brightmaps/strife/ROB2H0.png              0.0% [   213/   213] Stored
  Adding brightmaps/strife/ROB2I0.png              0.0% [   336/   336] Stored
  Adding brightmaps/strife/ROB2J0.png              0.0% [   308/   308] Stored
  Adding brightmaps/strife/ROB2K0.png              0.0% [   491/   491] Stored
  Adding brightmaps/strife/ROB2L0.png              0.0% [   736/   736] Stored
  Adding brightmaps/strife/ROB2M0.png              0.0% [   256/   256] Stored
  Adding brightmaps/strife/ROB2N0.png              0.0% [   303/   303] Stored
  Adding brightmaps/strife/ROB2O0.png              1.9% [   154/   157] Deflate
  Adding brightmaps/strife/ROB3F1.png              0.0% [   213/   213] Stored
  Adding brightmaps/strife/ROB3F2.png              0.0% [   200/   200] Stored
  Adding brightmaps/strife/ROB3F3.png              0.0% [   187/   187] Stored
  Adding brightmaps/strife/ROB3F4.png              0.0% [   199/   199] Stored
  Adding brightmaps/strife/ROB3F5.png              5.6% [   136/   144] Deflate
  Adding brightmaps/strife/ROB3F6.png              0.0% [   191/   191] Stored
  Adding brightmaps/strife/ROB3F7.png              0.0% [   185/   185] Stored
  Adding brightmaps/strife/ROB3F8.png              0.0% [   230/   230] Stored
  Adding brightmaps/strife/ROB3H1.png              0.0% [   248/   248] Stored
  Adding brightmaps/strife/ROB3H2.png              0.0% [   280/   280] Stored
  Adding brightmaps/strife/ROB3H3.png              0.0% [   285/   285] Stored
  Adding brightmaps/strife/ROB3H4.png              0.0% [   333/   333] Stored
  Adding brightmaps/strife/ROB3H5.png              0.0% [   389/   389] Stored
  Adding brightmaps/strife/ROB3H6.png              0.0% [   320/   320] Stored
  Adding brightmaps/strife/ROB3H7.png              0.0% [   270/   270] Stored
  Adding brightmaps/strife/ROB3H8.png              0.0% [   302/   302] Stored
  Adding brightmaps/strife/ROB3I1.png              0.0% [   241/   241] Stored
  Adding brightmaps/strife/ROB3I2.png              0.0% [   243/   243] Stored
  Adding brightmaps/strife/ROB3I3.png              0.0% [   240/   240] Stored
  Adding brightmaps/strife/ROB3I4.png              0.0% [   306/   306] Stored
  Adding brightmaps/strife/ROB3I5.png              0.0% [   387/   387] Stored
  Adding brightmaps/strife/ROB3I6.png              0.0% [   296/   296] Stored
  Adding brightmaps/strife/ROB3I7.png              0.0% [   239/   239] Stored
  Adding brightmaps/strife/ROB3I8.png              0.0% [   247/   247] Stored
  Adding brightmaps/strife/ROB3J1.png              0.0% [   241/   241] Stored
  Adding brightmaps/strife/ROB3J2.png              0.0% [   244/   244] Stored
  Adding brightmaps/strife/ROB3J3.png              1.2% [   171/   173] Deflate
  Adding brightmaps/strife/ROB3J4.png              2.1% [   188/   192] Deflate
  Adding brightmaps/strife/ROB3J6.png              0.0% [   177/   177] Stored
  Adding brightmaps/strife/ROB3J7.png              1.8% [   167/   170] Deflate
  Adding brightmaps/strife/ROB3J8.png              0.0% [   241/   241] Stored
  Adding brightmaps/strife/ROB3M0.png              0.0% [   240/   240] Stored
  Adding brightmaps/strife/ROB3N0.png              0.0% [   498/   498] Stored
  Adding brightmaps/strife/ROB3O0.png              0.0% [   631/   631] Stored
  Adding brightmaps/strife/ROB3P0.png              0.0% [   372/   372] Stored
  Adding brightmaps/strife/ROB3Q0.png              0.0% [   198/   198] Stored
  Adding brightmaps/strife/ROB3T0.png              0.0% [   164/   164] Stored
  Adding brightmaps/strife/ROB3U0.png              0.0% [   183/   183] Stored
  Adding brightmaps/strife/ROB3V0.png              0.0% [   218/   218] Stored
  Adding brightmaps/strife/ROB3W0.png              2.9% [   136/   140] Deflate
  Adding brightmaps/strife/ROB3X0.png              4.1% [   117/   122] Deflate
  Adding brightmaps/strife/ROB3Y0.png              2.6% [   149/   153] Deflate
  Adding brightmaps/strife/ROB3Z0.png              0.0% [   196/   196] Stored
  Adding brightmaps/strife/ROB3[0.png              0.0% [   385/   385] Stored
  Adding brightmaps/strife/ROB3]0.png              0.0% [   342/   342] Stored
  Adding brightmaps/strife/ROB3^0.png             11.2% [  1206/  1358] Deflate
  Adding brightmaps/strife/SEWRH0.png              0.0% [   200/   200] Stored
  Adding brightmaps/strife/STLKP0.png              5.2% [    91/    96] Deflate
  Adding brightmaps/strife/STLKQ0.png              3.4% [   113/   117] Deflate
  Adding brightmaps/strife/STLKR0.png              4.4% [   108/   113] Deflate
  Adding brightmaps/strife/STLKS0.png              3.4% [   113/   117] Deflate
  Adding brightmaps/strife/STLKT0.png              1.3% [   147/   149] Deflate
  Adding brightmaps/strife/STLKU0.png              3.1% [   155/   160] Deflate
  Adding brightmaps/strife/STLKV0.png              0.0% [   174/   174] Stored
  Adding brightmaps/strife/STLKW0.png              0.0% [   163/   163] Stored
  Adding brightmaps/strife/STLKX0.png              3.3% [   118/   122] Deflate
  Adding brightmaps/strife/STLKY0.png              2.4% [   166/   170] Deflate
  Adding brightmaps/strife/STLKZ0.png              0.0% [   243/   243] Stored
  Adding brightmaps/strife/STLK[0.png              0.0% [   215/   215] Stored
  Adding filter/doom.doom1/gldefs.bm              92.8% [  2076/ 28876] Deflate
  Adding filter/doom.doom2/gldefs.bm              92.8% [  2076/ 28876] Deflate
  Adding filter/heretic/gldefs.bm                 92.9% [   693/  9716] Deflate
  Adding filter/hexen/gldefs.bm                   90.3% [   360/  3702] Deflate
  Adding filter/strife/gldefs.bm                  93.7% [   981/ 15463] Deflate
  D:/gzdoom custom/Solution/brightmaps.pk3 contains 500 files (updated 500)
  Building Custom Rule D:/gzdoom custom/wadsrc_bm/CMakeLists.txt
  CMake does not need to re-run because D:/gzdoom custom/Solution/wadsrc_bm/CMakeFiles/generate.stamp is up-to-date.
